Capital_Receipts,Aggregate_Receipts,Social_Sector_Expenditure,Interest_Payments,Own_Tax_Revenues,Fiscal_Deficits,Outstanding_Liabilities,Aggregate_Expenditure,Revenue_Receipts,Revenue_Expenditure,Revenue_Deficits,Capital_Expenditure,Nominal_GSDP_Series
919.0,3315.0,1231.0,222.1,576.0,326.0,186.95,2966.0,2396.0,2098.0,-297.7,868.0,14295.0
693.0,2596.0,1046.0,187.5,1075.0,514.0,148.89,2625.0,1903.0,1972.0,70.0,653.0,13988.0
391.0,1351.0,369.0,97.9,502.0,230.0,61.71,1315.0,960.0,854.0,-106.1,461.0,6552.0
119.0,638.0,223.0,30.5,74.0,35.0,32.67,588.0,519.0,411.0,-107.8,177.0,1372.0
316.0,918.0,273.0,91.2,104.0,247.0,46.28,889.0,602.0,595.0,-6.6,294.0,2256.0
963.0,2976.0,1010.0,162.1,1076.0,550.0,110.74,2894.0,2013.0,2098.0,84.7,796.0,11575.0
727.0,2098.0,918.0,127.1,731.0,323.0,107.19,1969.0,1371.0,1445.0,74.2,523.0,7520.0
875.0,3049.0,1083.0,133.3,831.0,516.0,138.91,2916.0,2174.0,2103.0,-70.4,813.0,13905.0
1559.0,5733.0,1968.0,309.9,2377.0,1234.0,263.79,5732.0,4174.0,4491.0,316.7,1241.0,29616.0
58.0,284.0,80.0,11.3,7.0,-9.0,6.76,247.0,226.0,156.0,-70.4,91.0,418.0
20.0,203.0,70.0,7.2,15.0,-8.0,4.9,188.0,183.0,135.0,-48.0,53.0,393.0
34.0,164.0,74.0,8.0,2.0,41.0,5.38,177.0,130.0,132.0,1.5,46.0,181.0
43.0,308.0,84.0,12.7,10.0,-12.0,7.81,272.0,265.0,204.0,-60.8,69.0,273.0
516.0,1457.0,559.0,125.9,286.0,326.0,102.95,1410.0,941.0,1001.0,60.1,410.0,6823.0
883.0,2053.0,681.0,146.7,670.0,566.0,140.4,1963.0,1170.0,1163.0,-7.3,800.0,9506.0
